Link,TotalHit,D1,D2,D3,D4,D5,D6,D7,TXUtilization,MaxUtil,Bandwidth(Kbps)
10297,0,8.32999992370605,8.63000011444092,9.51000022888184,8.34000015258789,9.46000003814697,9.30000019073486,12.6499996185303,2.33999991416931,12.6499996185303,159749.0
3609,0,52.6100006103516,52.1399993896484,45.7599983215332,47.8699989318848,52.6399993896484,48.6100006103516,49.6500015258789,12.0100002288818,52.6399993896484,218154.0
8374,1,36.0003623962402,28.4844436645508,38.7213325500488,40.420036315918,42.5305366516113,41.9419860839844,80.3972396850586,4.90623286127206,80.3972396850586,79259.0
12676,0,1.32314503192902,25.2630825042725,21.2303066253662,23.5976123809814,21.0447521209717,20.1234302520752,20.0597820281982,4.39363934404033,25.2630825042725,203107.0
3375,0,26.0599994659424,12.4300003051758,9.35999965667725,19.0100002288818,37.3199996948242,19.5200004577637,21.4899997711182,5.07999992370605,37.3199996948242,195675.0
9970,0,49.7099990844727,52.6800003051758,50.4500007629395,47.7900009155273,50.9199981689453,51.4099998474121,50.6800003051758,9.97999954223633,52.6800003051758,182141.0
3263,0,25.8199996948242,25.9400005340576,24.1399993896484,27.4099998474121,32.6199989318848,25.1299991607666,22.7000007629395,4.8600001335144,32.6199989318848,281550.0
13726,0,4.87687110900879,5.62015056610107,7.87030363082886,6.09090328216553,5.6371021270752,4.78491640090942,6.41648960113525,61.3677468744304,7.87030363082886,203003.0
249,0,41.7900009155273,38.9300003051758,40.4799995422363,40.5999984741211,41.7000007629395,53.9300003051758,51.7599983215332,9.90999984741211,53.9300003051758,204746.0
10060,0,4.03999996185303,0.389999985694885,0.600000023841858,4.23999977111816,3.21000003814697,39.0,6.3600001335144,31.2600002288818,39.0,37635.0
7373,0,21.7099990844727,21.9799995422363,19.4699993133545,19.4899997711182,20.3999996185303,19.9400005340576,20.2600002288818,4.76999998092651,21.9799995422363,548939.0
4190,0,61.5499992370605,65.1900024414063,62.9700012207031,61.6100006103516,68.3600006103516,63.6100006103516,64.4300003051758,12.8900003433228,68.3600006103516,218154.0
11340,0,5.48210334777832,3.36499738693237,1.87196791172028,3.09090924263,4.80787801742554,5.40938234329224,4.69199085235596,4.52134303873908,5.48210334777832,37104.0
1680,0,20.3500003814697,12.5100002288818,8.65999984741211,24.7700004577637,27.8099994659424,24.3299999237061,28.4799995422363,3.78999996185303,28.4799995422363,182141.0
9369,0,14.0146455764771,13.7862701416016,14.8031415939331,14.8499937057495,14.7365446090698,14.3301210403442,16.228910446167,2.95069675921542,16.228910446167,158403.0
11878,0,31.8839721679688,32.7847862243652,30.8012638092041,37.8104820251465,28.6058025360107,28.3264293670654,27.403133392334,4.14411881634389,37.8104820251465,308525.0
14691,0,47.3030776977539,44.9821662902832,36.3489036560059,40.0235633850098,42.7433013916016,40.8887481689453,41.662654876709,6.93512136602006,47.3030776977539,491025.0
15990,0,65.6425476074219,56.256908416748,54.2392234802246,50.9302291870117,55.2304458618164,54.9721984863281,50.2789726257324,13.7943393174777,65.6425476074219,396708.0
13251,0,35.5167465209961,41.3302345275879,37.470329284668,35.7416381835938,38.5891761779785,39.3460884094238,42.6648864746094,7.13372855414011,42.6648864746094,308422.0
1541,0,62.9823684692383,40.4601211547852,37.6520156860352,50.5380706787109,58.4738845825195,54.4862289428711,52.7104034423828,17.5869845562504,62.9823684692383,159741.0
